,state,year,num_colonies,max_colonies,lost_colonies,percent_lost,added_colonies,renovated_colonies,percent_renovated,varroa_mites,diseases
0,Alabama,2015,31000,9000,4670,15.064516129032256,4940,1250,4.032258064516129,23.225,0.05
1,Arizona,2015,144000,40000,28100,14.557377049180328,30200,40600,2.754098360655738,34.725,1.775
2,Arkansas,2015,72500,30000,14800,14.035714285714285,15100,5800,8.107142857142858,47.7,2.375
3,California,2015,3960000,1690000,584000,13.559322033898304,499000,577000,16.305084745762713,38.2,7.375
4,Colorado,2015,68500,30000,10400,12.432432432432433,11000,5040,3.2432432432432434,37.825,7.574999999999999
5,Connecticut,2015,13800,3900,1210,19.51388888888889,1620,660,28.194444444444443,15.625,0.7
6,Florida,2015,899000,315000,150000,18.82882882882883,165000,106000,6.711711711711711,33.325,3.175
7,Georgia,2015,436000,124000,68500,18.11320754716981,95900,45900,6.886792452830188,37.525,3.775
8,Illinois,2015,43500,14000,7590,20.413793103448278,9600,3020,8.0,9.925,0.45
9,Indiana,2015,43500,15000,6100,11.17117117117117,6930,4840,2.4954954954954953,16.225,4.575
10,Kansas,2015,28100,9500,6670,18.638743455497384,3400,670,3.9581151832460733,28.525,0.6000000000000001
11,Kentucky,2015,33500,10500,7480,15.223880597014924,4040,2060,1.507462686567164,23.775,2.35
12,Louisiana,2015,200000,71000,16700,14.747474747474747,13000,18700,14.570707070707071,22.6,1.125
13,Maine,2015,18400,30000,4090,15.866666666666667,4460,860,11.653333333333334,26.1,3.3249999999999997
14,Maryland,2015,30000,11000,5880,14.82456140350877,4930,1650,14.356725146198832,11.875,0.9
15,Massachusetts,2015,19000,14000,2140,16.0,1520,1060,16.19718309859155,34.5,2.225
16,Minnesota,2015,336000,136000,58200,15.182481751824817,21930,23870,7.357664233576642,25.924999999999997,4.300000000000001
17,Mississippi,2015,177000,89000,24500,17.483870967741936,28260,17840,1.8451612903225807,18.9,0.175
18,Missouri,2015,51000,14000,4390,17.789473684210527,2850,3380,18.852631578947367,8.025,2.9
19,New Jersey,2015,41000,19000,3380,8.768115942028984,2880,5010,4.782608695652174,26.875,7.699999999999999
20,New Mexico,2015,26000,8500,3580,7.719298245614035,3280,1610,2.1929824561403506,37.0,17.675
21,New York,2015,140000,47000,18100,7.205882352941176,16090,9460,4.338235294117647,22.8,2.875
22,North Carolina,2015,89500,26000,13900,4.621212121212121,14510,5160,6.59090909090909,32.5,0.4
23,North Dakota,2015,868000,500000,157620,6.814159292035399,54500,92530,4.6902654867256635,15.45,2.5
24,Ohio,2015,77500,23000,16900,16.68520578420467,17500,10320,11.7908787541713,23.375,1.65
25,Oklahoma,2015,59000,27000,9080,13.917525773195877,8550,2710,6.443298969072164,21.25,0.175
26,Oregon,2015,327000,114000,29000,17.88617886178862,27000,34300,18.81533101045296,32.975,5.075
27,Pennsylvania,2015,76500,25000,12400,18.025751072961373,11960,11500,17.811158798283262,29.200000000000003,2.3
28,South Dakota,2015,639000,295000,87600,15.711009174311927,40000,38800,10.527522935779816,12.45,1.5
29,Tennessee,2015,35500,10000,5030,12.438423645320198,5170,1880,2.352216748768473,41.1,0.575
30,Texas,2015,697000,315000,100500,12.625250501002002,176500,151800,15.470941883767535,23.1,2.875
31,Utah,2015,89000,36000,16600,14.53382084095064,14020,6490,25.045703839122485,39.175,12.4
32,Virginia,2015,31000,9000,4200,17.448275862068964,3420,1460,6.942528735632184,25.125,1.45
33,Washington,2015,328000,127000,37000,11.093333333333334,30630,42170,1.9466666666666668,30.675,1.2249999999999999
34,Wyoming,2015,70500,35000,9000,13.915492957746478,9800,6840,8.112676056338028,23.375,3.45
35,Alabama,2016,30500,8000,4440,,3790,840,,14.45,1.2
36,Arizona,2016,111000,32000,20900,,25300,7450,,50.275,5.1
37,Arkansas,2016,111000,32000,12400,,17290,2770,,61.025000000000006,1.475
38,California,2016,3750000,1410000,595000,,523000,437000,,42.975,9.175
39,Colorado,2016,77500,37000,13550,,14300,1430,,30.825,5.175000000000001
40,Connecticut,2016,11400,3100,880,,1350,250,,13.775,0.45
41,Florida,2016,970000,300000,135000,,185000,62500,,36.95,5.2
42,Georgia,2016,406000,112000,50500,,78000,9550,,41.474999999999994,2.55
43,Illinois,2016,37500,11000,4160,,3910,730,,17.25,1.05
44,Indiana,2016,27800,9500,2790,,3200,1450,,27.125,0.575
45,Kansas,2016,22700,8000,5960,,4910,1190,,37.4,4.325
46,Kentucky,2016,27000,7500,3700,,3450,620,,38.25,1.65
47,Louisiana,2016,205000,60000,24300,,22350,14540,,21.475,4.9
48,Maine,2016,14800,25000,5070,,750,700,,26.5,1.2249999999999999
49,Maryland,2016,30000,9500,1840,,4420,460,,16.25,1.75
50,Massachusetts,2016,24700,9500,1940,,2750,620,,17.7,2.05
51,Minnesota,2016,308000,138000,58000,,31300,6100,,26.9,4.0
52,Mississippi,2016,142500,90000,16900,,58080,86800,,18.875,0.725
53,Missouri,2016,44500,13500,3310,,9180,1960,,16.7,0.575
54,New Jersey,2016,40200,18000,3110,,2500,210,,17.175,0.5
55,New Mexico,2016,26000,7000,5800,,7200,1150,,58.45,26.5
56,New York,2016,166000,56000,27200,,16610,3030,,28.275,2.875
57,North Carolina,2016,91500,25000,11100,,12720,2030,,28.275,2.125
58,North Dakota,2016,1094000,550000,150500,,66100,201500,,20.1,2.4749999999999996
59,Ohio,2016,71000,21000,8300,,7760,1920,,38.7,0.9749999999999999
60,Oklahoma,2016,32300,44000,6870,,8950,10630,,17.275,0.125
61,Oregon,2016,350000,132000,24200,,27200,22600,,37.875,10.175
62,Pennsylvania,2016,63500,22000,8600,,7780,2230,,27.375,1.325
63,South Dakota,2016,422000,191000,57500,,20800,24900,,32.575,4.05
64,Tennessee,2016,36000,10000,4070,,4540,570,,25.75,0.4
65,Texas,2016,845000,350000,117000,,214700,104460,,31.450000000000003,3.675
66,Utah,2016,83500,33000,11500,,15040,7220,,26.924999999999997,0.675
67,Virginia,2016,27500,8000,2870,,3450,920,,31.575000000000003,2.475
68,Washington,2016,290000,146000,33500,,37100,14830,,37.699999999999996,2.3
69,Wyoming,2016,66200,40000,12140,,9790,1580,,19.475,1.25
70,Alabama,2017,28000,9500,3930,,3010,2270,,32.4,2.25
71,Arizona,2017,106000,32000,19200,,21700,7300,,43.85,6.575
72,Arkansas,2017,89000,29000,18900,,13330,2380,,37.45,7.15
73,California,2017,3420000,1470000,507000,,460000,491000,,41.475,5.9
74,Colorado,2017,95000,42000,16900,,12500,17910,,32.85,2.025
75,Connecticut,2017,13600,4000,980,,2540,590,,30.525,0.025
76,Florida,2017,861000,265000,154000,,212000,162000,,39.6,4.7
77,Georgia,2017,499000,145000,63000,,69300,77200,,43.45,3.95
78,Illinois,2017,49000,13500,7000,,7550,3410,,22.825,1.2
79,Indiana,2017,39000,13000,5730,,5440,1420,,14.675,1.85
80,Kansas,2017,21100,7000,3920,,4970,2290,,36.95,4.7
81,Kentucky,2017,30000,9000,4670,,4550,1840,,39.575,1.625
82,Louisiana,2017,222000,64000,21500,,29990,45800,,34.925,0.175
83,Maine,2017,15900,33000,2370,,1630,1800,,14.149999999999999,8.975
84,Maryland,2017,33500,10500,5190,,5490,2200,,7.825000000000001,0.675
85,Massachusetts,2017,20800,9000,3500,,2430,1610,,35.625,5.825
86,Minnesota,2017,293000,136000,42500,,26100,11150,,31.325,2.1
87,Mississippi,2017,158000,89000,12700,,29030,34060,,36.525,0.5249999999999999
88,Missouri,2017,32000,9500,2870,,2620,1550,,31.1,1.825
89,New Jersey,2017,43000,21000,2540,,2520,1040,,16.825,1.75
90,New Mexico,2017,29000,8500,8300,,10400,4100,,85.675,44.525000000000006
91,New York,2017,167000,59000,17700,,20940,16960,,27.5,6.525
92,North Carolina,2017,89000,27000,13800,,12860,7090,,49.2,2.425
93,North Dakota,2017,1045000,490000,90640,,66100,143910,,28.450000000000003,1.7
94,Ohio,2017,70500,23000,10100,,9910,5790,,42.025,4.65
95,Oklahoma,2017,51100,46000,1360,,14320,3170,,14.625,5.3
96,Oregon,2017,330000,101000,36500,,30570,69900,,42.725,14.55
97,Pennsylvania,2017,75000,24000,11540,,16810,5390,,30.125,1.3
98,South Dakota,2017,314000,168000,38700,,17500,30940,,19.075,2.525
99,Tennessee,2017,35500,10500,5900,,5130,2940,,36.9,1.05
100,Texas,2017,851000,350000,112000,,197200,225400,,33.125,2.675
101,Utah,2017,101000,35000,13900,,22380,13330,,35.050000000000004,2.975
102,Virginia,2017,37500,11500,4700,,5730,2020,,27.824999999999996,1.625
103,Washington,2017,291000,111000,37000,,46900,44500,,18.375,1.55
104,Wyoming,2017,84500,36000,13900,,12900,7320,,23.525000000000002,7.625
105,Alabama,2018,29500,8500,4000,,4710,4810,,38.125,1.3
106,Arizona,2018,101000,31000,21600,,20210,5760,,45.8,11.25
107,Arkansas,2018,95500,31000,17800,,16250,3780,,41.175,0.45
108,California,2018,3550000,1540000,568000,,526000,575000,,46.05,7.550000000000001
109,Colorado,2018,93500,35000,16400,,15770,9900,,54.8,5.775
110,Connecticut,2018,13200,3600,610,,640,870,,12.775,0.6749999999999999
111,Florida,2018,932000,290000,168000,,212000,166000,,39.675,6.825
112,Georgia,2018,547000,164000,79500,,97500,137000,,45.95,6.575
113,Illinois,2018,43500,12000,6760,,7300,4300,,21.95,3.7
114,Indiana,2018,35500,11500,7090,,4860,3160,,48.05,7.15
115,Kansas,2018,19100,6000,3200,,4590,2700,,61.15,8.725
116,Kentucky,2018,24500,7000,4950,,2620,1670,,47.025,1.075
117,Louisiana,2018,201000,53000,9500,,10730,6820,,15.225000000000001,0.225
118,Maine,2018,28600,23000,5800,,720,1870,,17.825,0.375
119,Maryland,2018,29500,9000,3020,,3440,2160,,14.575,1.4500000000000002
120,Massachusetts,2018,20100,10000,4110,,2110,1690,,33.75,5.15
121,Minnesota,2018,313000,127000,52900,,54100,34990,,21.95,4.825
122,Mississippi,2018,100000,50000,10300,,32440,13200,,25.825,0.05
123,Missouri,2018,35000,10000,3210,,3930,1410,,38.25,0.8500000000000001
124,New Jersey,2018,40400,15500,2620,,1760,660,,14.425,0.07500000000000001
125,New Mexico,2018,23400,8000,8150,,5730,1450,,31.099999999999998,1.0
126,New York,2018,154000,56000,14700,,16000,7770,,32.9,10.7
127,North Carolina,2018,68500,18500,11600,,9350,3360,,39.6,4.0
128,North Dakota,2018,1025000,490000,114200,,56100,80010,,29.575,5.925
129,Ohio,2018,54500,16000,9400,,10770,5230,,41.65,2.725
130,Oklahoma,2018,36800,57000,8270,,11470,6770,,39.25,3.2249999999999996
131,Oregon,2018,327000,117000,34200,,47500,88900,,45.85,8.075
132,Pennsylvania,2018,71000,21000,9260,,10370,6070,,29.025,3.525
133,South Dakota,2018,341000,197000,60390,,22750,72020,,31.75,4.4
134,Tennessee,2018,35000,10000,7400,,4910,3140,,44.9,1.9749999999999999
135,Texas,2018,738000,315000,94500,,221500,122570,,21.35,4.7
136,Utah,2018,79000,30000,10320,,11140,5950,,36.05,1.925
137,Virginia,2018,26500,7500,4310,,4220,3150,,36.2,4.55
138,Washington,2018,250000,122000,35100,,35000,24870,,26.5,5.225
139,Wyoming,2018,77000,34000,9120,,7590,6100,,22.424999999999997,1.75
140,Alabama,2019,18500,7000,2300,,1200,600,,34.833333333333336,1.7666666666666666
141,Arizona,2019,82000,36000,11500,,6230,4190,,36.233333333333334,3.1999999999999997
142,Arkansas,2019,67000,28000,10200,,620,1010,,40.13333333333333,3.8333333333333335
143,California,2019,2490000,1580000,464000,,330000,231000,,44.333333333333336,6.766666666666667
144,Colorado,2019,65000,36000,17820,,3300,3840,,52.9,1.5999999999999999
145,Connecticut,2019,11300,4400,770,,250,530,,18.866666666666667,1.5999999999999999
146,Florida,2019,780000,315000,96000,,115000,64500,,45.1,6.533333333333334
147,Georgia,2019,355000,131000,47500,,42000,54500,,52.133333333333326,4.866666666666666
148,Illinois,2019,35500,13500,4940,,1670,2880,,32.699999999999996,1.6333333333333335
149,Indiana,2019,37500,17500,3010,,2800,1960,,30.666666666666668,2.733333333333333
150,Kansas,2019,16800,7500,4050,,750,970,,73.39999999999999,12.066666666666668
151,Kentucky,2019,20200,8500,2150,,950,630,,27.933333333333334,0.2333333333333333
152,Louisiana,2019,132000,51000,9900,,13470,29080,,52.633333333333326,1.3333333333333333
153,Maine,2019,30000,12000,2340,,580,3570,,10.966666666666667,0.06666666666666667
154,Maryland,2019,22000,8000,4190,,1140,1630,,17.3,0.6666666666666666
155,Massachusetts,2019,22300,13500,2980,,920,710,,10.299999999999999,0.3333333333333333
156,Minnesota,2019,240000,129000,38700,,8480,2630,,31.166666666666668,2.3666666666666667
157,Mississippi,2019,70000,29000,8700,,4700,2600,,38.233333333333334,23.766666666666666
158,Missouri,2019,28000,10500,3100,,600,420,,14.333333333333334,0.8333333333333334
159,New Jersey,2019,37500,16000,1210,,840,3240,,14.633333333333335,0.09999999999999999
160,New Mexico,2019,13200,6000,410,,1030,560,,16.066666666666666,0.6333333333333333
161,New York,2019,154000,69000,21900,,3940,4290,,24.866666666666664,1.9666666666666668
162,North Carolina,2019,50000,22000,7600,,2790,6660,,29.266666666666666,8.133333333333333
163,North Dakota,2019,1042000,530000,109100,,18000,23100,,32.766666666666666,5.5
164,Ohio,2019,49000,19500,7800,,5300,3830,,41.03333333333333,5.233333333333333
165,Oklahoma,2019,35000,55000,3480,,610,1100,,12.566666666666668,0.03333333333333333
166,Oregon,2019,287000,130000,30500,,14650,24800,,29.73333333333333,8.233333333333333
167,Pennsylvania,2019,55000,21000,7680,,3770,3320,,23.96666666666667,2.1666666666666665
168,South Dakota,2019,462500,255000,59600,,1300,8040,,7.8,1.1666666666666667
169,Tennessee,2019,31000,14000,7300,,2460,2590,,60.26666666666666,1.7666666666666666
170,Texas,2019,515000,330000,45500,,75500,43700,,23.7,4.766666666666667
171,Utah,2019,62500,32000,9000,,5370,1790,,24.8,2.533333333333333
172,Virginia,2019,22500,9000,2870,,440,1120,,30.733333333333334,0.7000000000000001
173,Washington,2019,225000,97000,40500,,18310,12300,,36.63333333333333,1.2333333333333334
174,Wyoming,2019,57500,28000,6550,,2600,3990,,24.666666666666668,2.1999999999999997
